sample,time_s,zone_index,zone_tolerance_mm,reference_x_mm,reference_y_mm,initial_x_mm,initial_y_mm,no_alignment_x_mm,no_alignment_y_mm,v11_x_mm,v11_y_mm,initial_contour_error_mm,no_alignment_contour_error_mm,v11_contour_error_mm
21,0.7875,1,0.22,-27.170537109375,5.248981313568999,-28.968687727837555,1.287808892266988,-29.00523152126267,2.1464358751686015,-28.98791598812002,2.355753817394006,-0.579958966127859,-0.0930161014719828,0.003471085317895639
22,0.825,1,0.22,-26.908828125,5.6573852875314685,-28.808510595275205,1.5430125983331953,-28.878031592923442,2.545072642294674,-28.856410762178783,2.7797193183894673,-0.6679234514640948,-0.06023298045998504,0.05037437515833432
23,0.8624999999999999,1,0.22,-26.636923828125,6.061431623760144,-28.636058635762527,1.8199913169870932,-28.741273604868784,2.9653943331532546,-28.71525303874438,3.2224289048205867,-0.767496683877122,-0.029606199761340157,0.0951549260576876
24,0.8999999999999999,1,0.22,-26.355,6.457286417211086,-28.451369746692677,2.1176511773106816,-28.594587444715557,3.4034152875827095,-28.564151064287135,3.678901207364436,-0.8801139135752707,-0.0033977524225854427,0.13519015819194746
25,0.9375,1,0.22,-26.063232421875,6.840977515970936,-28.254500495988083,2.434712201160312,-28.437621625815854,3.8549569394136296,-28.402832128107534,4.143959260338755,-1.0071315349731103,0.015957999172638626,0.16756089460834356
26,0.975,1,0.22,-25.761796875,7.208451675149013,-28.045528130809977,2.769689580133225,-28.269959244489623,4.315633643486962,-28.230945323623768,4.612217709724674,-1.1496611651522224,0.025745042130468132,0.18887415860001777
27,1.0125,1,0.22,-25.450869140625002,7.555642184057431,-27.824552436796665,3.1208753062570285,-28.090961536043963,4.780836999346581,-28.047881150979087,5.078067993021788,-1.3082887443775666,0.022834065110690638,0.1950414472714832
28,1.05,1,0.22,-25.130625,7.878546436623289,-27.591697292148854,3.4863219488016535,-27.89981846311739,5.2457147446799235,-27.8528292861379,5.535657977071823,-1.4826251063950986,0.003779458072349806,0.18129992214478485
29,1.0875,1,0.22,-24.801240234375,8.173312481696314,-27.34711179261221,3.8638300221892217,-27.695606389529658,5.705627927258266,-27.644838138718523,5.979614772047592,-1.6706387960797568,-0.034598633893083486,0.1429201186386171
30,1.125,-1,nan,-24.462890625,8.436333119233705,-27.090970855077295,4.2509401910645535,-27.477330529125847,6.156965738225518,-27.422860316397156,6.406324288009714,-1.8677719455496855,-0.09403134879969577,0.07678566679880916
31,1.1624999999999999,-1,nan,-24.115751953125002,8.664345613961336,-26.82347523849093,4.644931441340648,-27.244003146377597,6.596801225674551,-27.185862374744133,6.813392318019079,-2.065984603670224,-0.17408724138734288,-0.017816969381933
32,1.2,-1,nan,-23.76,8.854534597449428,-26.54485094993277,5.042826260647043,-26.994658455236745,7.0225189667996215,-26.932840912315722,7.19905809868295,-2.253146044301696,-0.2714113745829385,-0.1383131262872459
33,1.2375,-1,nan,-23.395810546874998,9.004635243544083,-26.255348030324438,5.441403784190948,-26.72834959217101,7.431593788673921,-26.66281403876147,7.561840174098691,-2.4135023511622276,-0.37906427067729753,-0.277916074252172
34,1.275,-1,nan,-23.023359375000002,9.113033354790478,-25.955238738014252,5.837221750510457,-26.444145569725535,7.821474198744729,-26.374815035485373,7.900341405867667,-2.529938985157189,-0.4865432292227727,-0.42534995487787985
35,1.3125,-1,nan,-22.642822265625,9.178858615283772,-25.64481516938372,6.226647962086534,-26.141129391692683,8.189532812654798,-26.067889285603805,8.213153632621315,-2.5879376896543977,-0.5810431793556954,-0.5659893529931252
36,1.3499999999999999,-1,nan,-22.254375000000003,9.202066976134997,-25.324386373702783,6.605901750371091,-25.818396381026407,8.533060607340852,-25.741092493811152,8.498825408112236,-2.579650123279075,-0.6498675197971878,-0.6845171399321729
37,1.3875,-1,nan,-21.858193359375,9.183507971498857,-24.994275034748696,6.971105700611312,-25.47505211385775,8.849291303971485,-25.3934889256476,8.755871253768637,-2.5057581806015143,-0.6829713258096333,-0.7680519768065471
38,1.425,-1,nan,-21.454453125,9.12497274270138,-24.65481380415569,7.318347601456373,-25.110209770495047,9.135447790394306,-25.024149153499813,8.98280980396788,-2.374032018503337,-0.6743715658255506,-0.8081910790319461
39,1.4625,-1,nan,-21.043330078125003,9.029218699383176,-24.306341380934935,7.643752257614355,-24.722986942470047,9.38880574744301,-24.632147218320554,9.178223411329812,-2.1957464447672708,-0.6219768472101457,-0.8012096184875119
40,1.5,-1,nan,-20.625,8.899967089073836,-23.94919843781665,7.943562462207064,-24.312502027690087,9.6067716132467,-24.21655730848596,9.34083466275522,-1.982113760270952,-0.526414310696711,-0.746903522603988
41,1.5374999999999999,-1,nan,-20.199638671875,8.74187029316556,-23.583723497555027,8.214228109227545,-23.877870367772765,9.786973386392852,-23.776450140866014,9.469596346486533,-1.7420988130379247,-0.38974226583624416,-0.6470851246255865
42,1.575,-1,nan,-19.767421875,8.560446422671665,-23.210248860496637,8.452502203131294,-23.41820028154333,9.927363676860697,-23.310889294611933,9.56379000073756,-1.481728436267272,-0.21459964830299683,-0.5044516072550479
43,1.6125,-1,nan,-19.328525390625,8.361979746606039,-22.82909667853938,8.655542475757894,-22.932609771260704,10.026332575100957,-22.8189513883868,9.623121555704765,-1.2043695802965892,-0.003930612311907389,-0.322072812807791
44,1.65,-1,nan,-18.883125000000003,8.153386633613406,-22.44057526460432,8.821017422090229,-22.420841875193105,10.082800081196426,-22.300431201412813,9.647772570041049,-0.9114490874584116,0.23852188063803226,-0.10376294755612481
45,1.6875,-1,nan,-18.431396484375,7.94204799629447,-22.04497574439883,8.947215091119213,-21.883817996091643,10.096298462277579,-21.756474599829332,9.638447976560837,-0.6033285928072929,0.5073747187769131,0.1451689034766035
46,1.7249999999999999,-1,nan,-17.973515625000005,7.735610658326819,-21.64256927405716,9.033148797342704,-21.323311130770836,10.066983433078853,-21.189201910574987,9.596428949846414,-0.28026882923011054,0.7949014312434746,0.41742399991522783
