trajectory,domain_seed,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_task_max_ratio,final_task_max_ratio,initial_global_rmse,final_global_rmse,final_global_ratio,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,elapsed_s
ellipse,631,full_trajectory,11.74102238041194,0.47211296463186125,0.47211296463186125,0.29458523703692213,0.04021054975753287,0.8333333333333334,0.0,15.511233389706257,0.6316679161795202,2.040906106885315,0.09957002070129917,0.04878716388048631,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.24223729200000044
ellipse,631,static_tolerance,11.74102238041194,0.927934175915722,0.927934175915722,0.31759033544718374,0.0790335071214782,0.8333333333333334,0.16666666666666666,15.511233389706257,1.2706299698617134,2.040906106885315,0.18034260466596452,0.08836398894469012,0,"[[1, 3], [1, 3], [1, 3], [1, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.22808662499999954
ellipse,631,curvature_zones,11.74102238041194,0.8507561901871179,0.8507561901871179,0.3379380365373948,0.07246014551564706,0.8333333333333334,0.16666666666666666,15.511233389706257,1.0836710554742723,2.040906106885315,0.1687371356305359,0.08267755927686966,0,"[[0, 5], [0, 5], [0, 5], [0, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.2181377090000005
ellipse,631,jerk_zones,11.74102238041194,0.5285193012906828,0.5285193012906828,0.2836932220614207,0.04501475971738497,0.8333333333333334,0.0,15.511233389706257,0.6697519300763513,2.040906106885315,0.14289192413359736,0.07001396274504211,0,"[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.2297994999999986
ellipse,631,error_peak_dynamic,11.74102238041194,0.5140332340829554,0.5140332340829554,0.289854766780847,0.04378096024589303,0.8333333333333334,0.0,15.511233389706257,0.6688374083854551,2.040906106885315,0.12755635055458306,0.062499862254442685,2,"[[3, 4], [2, 4], [1, 2], [1, 2]]","[true, true, true, true, true]",0,0.0,0,1,0.2251934999999996
ellipse,631,violation_dynamic,11.74102238041194,0.5140332340829554,0.5140332340829554,0.289854766780847,0.04378096024589303,0.8333333333333334,0.0,15.511233389706257,0.6688374083854551,2.040906106885315,0.12755635055458306,0.062499862254442685,2,"[[3, 4], [2, 4], [1, 2], [1, 2]]","[true, true, true, true, true]",0,0.0,0,1,0.21356854200000086
ellipse,631,violation_safe,11.74102238041194,0.5140332340829554,0.5140332340829554,0.289854766780847,0.04378096024589303,0.8333333333333334,0.0,15.511233389706257,0.6688374083854551,2.040906106885315,0.12755635055458306,0.062499862254442685,2,"[[3, 4], [2, 4], [1, 2], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,0.21113720800000024
ellipse,631,random_zones,11.74102238041194,0.8793510966304223,0.8793510966304223,0.3134303012581294,0.07489561540206943,0.8333333333333334,0.16666666666666666,15.511233389706257,1.1784823191648128,2.040906106885315,0.16028176626706364,0.07853461054691743,0,"[[4, 5], [4, 5], [4, 5], [4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.2062895840000003
ellipse,647,full_trajectory,4.316847166816868,0.10047744500923225,0.10047744500923225,0.27330031814140554,0.02327565492278517,0.5,0.0,5.838308723740941,0.1251475671451659,0.6285356370061251,0.019799729101044317,0.03150136274747357,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.18661470800000046
ellipse,647,static_tolerance,4.316847166816868,0.18708706060786356,0.18708706060786356,0.27308533000578356,0.04333881960102302,0.5,0.0,5.838308723740941,0.2551525621206802,0.6285356370061251,0.038678803195516066,0.06153796367021133,0,"[[1, 3], [1, 3], [1, 3], [1, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.1846225419999996
ellipse,647,curvature_zones,4.316847166816868,0.20982808178094112,0.20982808178094112,0.3225659503948958,0.04860678955555032,0.5,0.0,5.838308723740941,0.27957446548776177,0.6285356370061251,0.03327284006792743,0.0529370780412936,0,"[[0, 5], [0, 5], [0, 5], [0, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.20255237499999978
ellipse,647,jerk_zones,4.316847166816868,0.18300451363544343,0.18300451363544343,0.3079694147348182,0.0423930953688097,0.5,0.0,5.838308723740941,0.24894511278904766,0.6285356370061251,0.03526495261070305,0.05610652846778741,0,"[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.1917655420000024
ellipse,647,error_peak_dynamic,4.316847166816868,0.10213807917205259,0.10213807917205259,0.25598379795942305,0.023660341732080956,0.5,0.0,5.838308723740941,0.12302891653163177,0.6285356370061251,0.03112284194246999,0.04951643170260956,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.14658966700000065
