plant_group,scenario_id,proposed,comparator,plant_id,tasks_within_plant,plant_median_effect_percent
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P17,5,1.7573991837733252
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P18,5,1.8992085246452595
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P19,5,1.0363990938143623
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P20,5,3.9942838380065773
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P21,5,7.6358831208952855
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P22,5,6.2038487032414915
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P23,5,0.772662566845203
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P24,5,6.32620169955726
edge_challenge,n0_d0_m0,v11_full,no_residual_alignment,C01_max_delay,5,6.881592482100129
edge_challenge,n0_d0_m0,v11_full,no_residual_alignment,C02_low_bandwidth,5,7.702927709339395
edge_challenge,n0_d0_m0,v11_full,no_residual_alignment,C03_high_asymmetry,5,6.74200259721052
edge_challenge,n0_d0_m0,v11_full,no_residual_alignment,C04_strong_coupling,5,4.708751345999635
edge_challenge,n0_d0_m0,v11_full,no_residual_alignment,C05_strong_friction,5,4.712680792150313
edge_challenge,n0_d0_m0,v11_full,no_residual_alignment,C06_tight_saturation,5,4.726921893662807
edge_challenge,n0_d0_m0,v11_full,raw_top2,C01_max_delay,5,0.0
edge_challenge,n0_d0_m0,v11_full,raw_top2,C02_low_bandwidth,5,0.0
edge_challenge,n0_d0_m0,v11_full,raw_top2,C03_high_asymmetry,5,0.0
edge_challenge,n0_d0_m0,v11_full,raw_top2,C04_strong_coupling,5,0.0
edge_challenge,n0_d0_m0,v11_full,raw_top2,C05_strong_friction,5,0.0
edge_challenge,n0_d0_m0,v11_full,raw_top2,C06_tight_saturation,5,0.0
edge_challenge,n0_d0_m0,v11_full,uniform_full_trajectory,C01_max_delay,5,8.262143858966905
edge_challenge,n0_d0_m0,v11_full,uniform_full_trajectory,C02_low_bandwidth,5,9.216353621883737
edge_challenge,n0_d0_m0,v11_full,uniform_full_trajectory,C03_high_asymmetry,5,2.9725057845375527
edge_challenge,n0_d0_m0,v11_full,uniform_full_trajectory,C04_strong_coupling,5,3.707393283629409
edge_challenge,n0_d0_m0,v11_full,uniform_full_trajectory,C05_strong_friction,5,3.6542021621060243
edge_challenge,n0_d0_m0,v11_full,uniform_full_trajectory,C06_tight_saturation,5,3.694417166104296
edge_challenge,n0_d1_m0,v11_full,no_residual_alignment,C01_max_delay,5,3.951106425828764
edge_challenge,n0_d1_m0,v11_full,no_residual_alignment,C02_low_bandwidth,5,5.397143866957601
edge_challenge,n0_d1_m0,v11_full,no_residual_alignment,C03_high_asymmetry,5,5.471503203009768
edge_challenge,n0_d1_m0,v11_full,no_residual_alignment,C04_strong_coupling,5,5.635058837202329
edge_challenge,n0_d1_m0,v11_full,no_residual_alignment,C05_strong_friction,5,5.632814784346046
edge_challenge,n0_d1_m0,v11_full,no_residual_alignment,C06_tight_saturation,5,5.699535266563615
edge_challenge,n0_d1_m0,v11_full,raw_top2,C01_max_delay,5,0.0
edge_challenge,n0_d1_m0,v11_full,raw_top2,C02_low_bandwidth,5,0.0
edge_challenge,n0_d1_m0,v11_full,raw_top2,C03_high_asymmetry,5,0.0
edge_challenge,n0_d1_m0,v11_full,raw_top2,C04_strong_coupling,5,0.0
