scenario_id,scope,plant_id,manifest_id,value,proposed,baseline
n0_d0_m0,all_tasks,S26005,harmonic_loop--neutral,0.8142809565773222,0.4130087151696269,0.41639937599163357
n0_d0_m0,all_tasks,S26005,rounded_square--demand_aligned,5.836679948020817,0.5334905858555942,0.5665588103319865
n0_d0_m0,all_tasks,S26005,rounded_square--demand_conflict,-15.828499012877812,0.47321191678472807,0.40854532417977407
n0_d0_m0,all_tasks,S26005,rounded_square--neutral,-4.192420055518377,0.5014991386243988,0.4813201750733668
n0_d0_m0,all_tasks,S26005,s_curve--demand_aligned,8.610042750745976,0.3885922829386955,0.4252023905415137
n0_d0_m0,all_tasks,S26005,s_curve--demand_conflict,-4.218547756341879,0.3540838869977282,0.3397513155005382
n0_d0_m0,all_tasks,S26005,s_curve--neutral,2.19633810475359,0.36335489104309115,0.37151460794204827
n0_d0_m0,all_tasks,S26006,ellipse--demand_aligned,-78.7462959662558,0.25707427227621804,0.14382075493455215
n0_d0_m0,all_tasks,S26006,ellipse--demand_conflict,-71.33560704579824,0.2645309015974898,0.1543934189504347
n0_d0_m0,all_tasks,S26006,ellipse--neutral,-76.78873406299915,0.25802653812421084,0.14595191231600899
n0_d0_m0,all_tasks,S26006,figure_eight--demand_aligned,-52.63815546260266,0.26199265631100305,0.1716429653627418
n0_d0_m0,all_tasks,S26006,figure_eight--demand_conflict,-51.690736296144294,0.27266680102771007,0.17975178160872357
n0_d0_m0,all_tasks,S26006,figure_eight--neutral,-50.84555758270751,0.2622646513376184,0.17386302622390495
n0_d0_m0,all_tasks,S26006,harmonic_loop--demand_aligned,-27.014136232529104,0.32362700409802275,0.254796051602908
n0_d0_m0,all_tasks,S26006,harmonic_loop--demand_conflict,-49.39898309392419,0.4273275945326069,0.2860311266402359
n0_d0_m0,all_tasks,S26006,harmonic_loop--neutral,-37.77406743867133,0.3603003380822349,0.26151535247561647
n0_d0_m0,all_tasks,S26006,rounded_square--demand_aligned,-16.242424190470995,0.4033696078463897,0.347007222754957
n0_d0_m0,all_tasks,S26006,rounded_square--demand_conflict,-33.537950534549324,0.5443916615731423,0.4076681268463048
n0_d0_m0,all_tasks,S26006,rounded_square--neutral,-27.89063295286862,0.481587075014368,0.3765616479448082
n0_d0_m0,all_tasks,S26006,s_curve--demand_aligned,0.579730521307336,0.30751259584250845,0.3093057355959121
n0_d0_m0,all_tasks,S26006,s_curve--demand_conflict,-17.990424977913587,0.2983580325450494,0.25286630894066064
n0_d0_m0,all_tasks,S26006,s_curve--neutral,-5.945727818331533,0.29318786022107596,0.2767340092502969
n0_d0_m0,all_tasks,S26007,ellipse--demand_aligned,-56.09077299929722,0.24561744121193904,0.15735551595547861
n0_d0_m0,all_tasks,S26007,ellipse--demand_conflict,-56.510456482444816,0.29856804182542135,0.19076555556459615
n0_d0_m0,all_tasks,S26007,ellipse--neutral,-51.07205680792694,0.2577108390166668,0.17058802564945577
n0_d0_m0,all_tasks,S26007,figure_eight--demand_aligned,-56.75890414549031,0.2999506047143367,0.19134517834849624
n0_d0_m0,all_tasks,S26007,figure_eight--demand_conflict,-58.220591609867505,0.2983990364335819,0.18859684027055054
n0_d0_m0,all_tasks,S26007,figure_eight--neutral,-57.76605401841975,0.2961813819918263,0.18773454393252814
n0_d0_m0,all_tasks,S26007,harmonic_loop--demand_aligned,-14.07208644982218,0.320754976384125,0.2811862098491712
n0_d0_m0,all_tasks,S26007,harmonic_loop--demand_conflict,-13.659897532799862,0.41150386454813437,0.3620484211939246
n0_d0_m0,all_tasks,S26007,harmonic_loop--neutral,-16.990683435735992,0.340928408396396,0.29141500706222556
n0_d0_m0,all_tasks,S26007,rounded_square--demand_aligned,6.363688058596172,0.38228243081819513,0.40826301558888994
n0_d0_m0,all_tasks,S26007,rounded_square--demand_conflict,-29.00218259797464,0.3101370450266003,0.24041224635176792
n0_d0_m0,all_tasks,S26007,rounded_square--neutral,-10.607121642672952,0.36159394040997817,0.3269174127667317
n0_d0_m0,all_tasks,S26007,s_curve--demand_aligned,-27.55403265332003,0.35124442348734003,0.2753691248962623
n0_d0_m0,all_tasks,S26007,s_curve--demand_conflict,-52.84773838688219,0.3110163264677509,0.20348114388223304
n0_d0_m0,all_tasks,S26007,s_curve--neutral,-29.240882420131907,0.31191281302115464,0.24134221863883518
n0_d0_m0,all_tasks,S26008,ellipse--demand_aligned,-53.84779371285207,0.24666128502317397,0.1603281263061548
n0_d0_m0,all_tasks,S26008,ellipse--demand_conflict,-57.114993104092,0.3126840845197114,0.19901606991291507
n0_d0_m0,all_tasks,S26008,ellipse--neutral,-47.00163621181406,0.25651646591371124,0.17449905492487017
n0_d0_m0,all_tasks,S26008,figure_eight--demand_aligned,-57.37516002822462,0.30750233521488246,0.19539445434700947
n0_d0_m0,all_tasks,S26008,figure_eight--demand_conflict,-50.537613594859245,0.3154077930607787,0.2095209200735926
n0_d0_m0,all_tasks,S26008,figure_eight--neutral,-55.01303239875923,0.3178872935792405,0.20507133410660572
n0_d0_m0,all_tasks,S26008,harmonic_loop--demand_aligned,-13.10474431393668,0.3138473330413244,0.2774837916349477
n0_d0_m0,all_tasks,S26008,harmonic_loop--demand_conflict,-7.577610721665187,0.3971914544359609,0.36921386501473025
n0_d0_m0,all_tasks,S26008,harmonic_loop--neutral,-15.740923129368225,0.3335597238534666,0.2881951472606052
n0_d0_m0,all_tasks,S26008,rounded_square--demand_aligned,8.205483901540852,0.355172796210511,0.38692158454166403
n0_d0_m0,all_tasks,S26008,rounded_square--demand_conflict,-31.03221584556747,0.3191034890723494,0.24353056003299206
n0_d0_m0,all_tasks,S26008,rounded_square--neutral,-8.281278681174669,0.35773193504370626,0.3303728395164399
n0_d0_m0,all_tasks,S26008,s_curve--demand_aligned,-16.984648774633385,0.33186596467075835,0.2836833449062927
n0_d0_m0,all_tasks,S26008,s_curve--demand_conflict,-42.06412601585258,0.31894848863423203,0.2245102247689479
n0_d0_m0,all_tasks,S26008,s_curve--neutral,-36.639677501870636,0.3405840474340996,0.24925706329293473
