paired_n,plant_n,median,mean,paired_ci_low,paired_ci_high,plant_ci_low,plant_ci_high,hierarchical_ci_low,hierarchical_ci_high,win_rate,tie_rate,leave_one_plant_min,leave_one_plant_max,scenario_id,scenario_label,scope,scope_label,metric,metric_label,effect_definition
120,8,-10.095141805652908,-12.06115391775986,-11.918168048529353,-5.455403167002598,-12.830178328868305,-2.9415019729600926,-13.23239938595195,-2.9415019729600926,0.15833333333333333,0.0,-11.120355195898375,-6.4727677079614105,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,global_rmse_auc_normalized,Global RMSE AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-4.2441005227608155,-7.432557663393096,-7.086688457687419,-2.6385450844631224,-6.7673819197041025,-1.896157328413314,-7.510107456913321,0.2800057314803668,0.36666666666666664,0.0,-4.349634963517345,-4.10040279155371,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,worst_zone_auc_normalized,Worst-zone AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,4.446181110962685,-4.210601034292807,1.7547891095692596,7.335931286277066,1.3468869577957323,7.8414081408346625,0.9773785436735101,8.793686081799324,0.6833333333333333,0.0,3.912606411969493,5.381283294422157,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,final_task_ratio,Final task ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-12.041908818098337,-19.40185468720578,-14.008409729437703,-7.232144839014111,-14.008409729437703,-6.553331094319244,-14.735892299808944,-5.4847674314007815,0.25,0.0,-12.52962527918156,-10.706279828138973,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,final_global_ratio,Final global RMSE ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,5.245158622993355,-4.695410731392662,1.731819683974488,6.358130684637524,0.7690695349368839,6.56441125027418,0.08293728092581275,8.770269979428567,0.6583333333333333,0.0,4.589470341521567,5.431513872733684,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,final_worst_zone_ratio_relative,Final worst-zone ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-1.8177966333648738,-3.4033155323172037,-4.2486277834221795,-0.19192664571610468,-4.207301177848208,-0.30312481662876717,-4.289954388996152,1.658537706187326,0.35,0.0,-2.3030506126855665,-1.648423476145148,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,task_auc_normalized,Task AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-8.09520120963025,-10.663137507382059,-14.201780757152283,-2.8105495494591857,-13.112286562681412,-2.5830728228799433,-15.581563633306205,-2.311573306594117,0.225,0.0,-8.277897773970619,-6.046435010866359,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,global_rmse_auc_normalized,Global RMSE AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-1.4127243803488496,-3.4427745019228886,-4.322759596021673,2.3529623256856187,-4.164717293801788,1.5710942430886665,-4.366141948870615,2.553636414691263,0.475,0.0,-2.2663918089563118,0.36111653348114575,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,worst_zone_auc_normalized,Worst-zone AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,5.3744037030984995,-1.3193600479566967,-0.3243127571010953,12.39846762519532,2.024299681311697,9.082376677453553,-1.104904532398301,14.254412419691176,0.65,0.0,3.977255654099473,7.180202990199137,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,final_task_ratio,Final task ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-8.669290605239901,-20.251213537521313,-19.17535778539101,-3.7255225024069345,-20.469038979580436,-3.05988003471001,-21.946820996565577,-0.6205746034714529,0.275,0.0,-14.85964713000391,-6.233596144588433,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,final_global_ratio,Final global RMSE ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,6.475194535716554,-1.1202617999722904,0.6117321625205044,12.893655232263058,1.489208950882959,12.262593949517285,0.33383232949749037,15.13354222732173,0.675,0.0,4.168961192208729,8.160166373983534,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,final_worst_zone_ratio_relative,Final worst-zone ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-1.9454591310463991,-5.791768324699587,-4.183994290496913,-1.2528997040267034,-4.160615334710759,-0.50462580551067,-4.262095192168497,0.6636273119314435,0.375,0.0,-2.4440867717236294,-1.8143088503839508,n1_d1_m1,Triple stress,all_tasks,All 15 tasks,task_auc_normalized,Task AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-8.158805713666062,-10.53848338410615,-12.254082506552367,-3.428266489058158,-13.112286562681412,-2.311573306594117,-13.153957197440867,-1.8469205786582925,0.25833333333333336,0.0,-9.313236545998235,-5.365910638406803,n1_d1_m1,Triple stress,all_tasks,All 15 tasks,global_rmse_auc_normalized,Global RMSE AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-3.1881985126236314,-6.4238220139456494,-4.948338203198119,-1.328283244358515,-4.366141948870615,0.9349149031541386,-6.270925005576711,1.1865953343538933,0.375,0.0,-3.629217509392496,-2.5141723958272877,n1_d1_m1,Triple stress,all_tasks,All 15 tasks,worst_zone_auc_normalized,Worst-zone AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,3.981832734750036,-2.3529625244365175,0.5741628596446089,8.135170119542707,0.5688120269747426,7.998528838302904,0.08050034387937087,9.337464524784878,0.625,0.0,2.482092150865682,4.826960702449096,n1_d1_m1,Triple stress,all_tasks,All 15 tasks,final_task_ratio,Final task ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-9.554132489002829,-18.223887021564874,-14.570504643137737,-5.710806506070906,-18.52647860690104,-0.8881202938863337,-19.522993881798442,-0.3480831386953425,0.2916666666666667,0.0,-14.353858279754265,-7.636931930096392,n1_d1_m1,Triple stress,all_tasks,All 15 tasks,final_global_ratio,Final global RMSE ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,2.671383989410342,-3.4612498865762946,0.8896319955435185,7.1239211393982576,0.8896319955435185,7.5974779090321265,0.13623349943190355,9.830022541023133,0.625,0.0,1.4048280790217909,4.529497463193971,n1_d1_m1,Triple stress,all_tasks,All 15 tasks,final_worst_zone_ratio_relative,Final worst-zone ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
